Trade Date,Exchange Code,Asset Class,Product Code,Clearing Code,Product Description,Product Type,Underlying Product Code,Put/Call,Strike Price,Contract Year,Contract Month,Contract Day,Settlement,Settlement Cabinet Indicator,Open Interest,Total Volume,Globex Volume,Floor Volume,PNT Volume,Block Volume,EFP Volume,EOO Volume,EFR Volume,EFS Volume,EFB Volume,EFM Volume,SUB Volume,OPNT Volume,TAS Volume,TAS Block Volume,TAM Singapore Volume,TAM Singapore Block Volume,TAM London Volume,TAM London Block Volume,Globex Open Price,Globex Open Price Bid/Ask Indicator,Globex Open Price Cabinet Indicator,Globex High Price,Globex High Price Bid/Ask Indicator,Globex High Price Cabinet Indicator,Globex Low Price,Globex Low Price Bid/Ask Indicator,Globex Low Price Cabinet Indicator,Globex Close Price,Globex Close Price Bid/Ask Indicator,Globex Close Price Cabinet Indicator,Floor Open Price,Floor Open Price Bid/Ask Indicator,Floor Open Price Cabinet Indicator,Floor Open Second Price,Floor Open Second Price Bid/Ask Indicator,Floor High Price,Floor High Price Bid/Ask Indicator,Floor High Price Cabinet Indicator,Floor Low Price,Floor Low Price Bid/Ask Indicator,Floor Low Price Cabinet Indicator,Floor Close Price,Floor Close Price Bid/Ask Indicator,Floor Close Price Cabinet Indicator,Floor Close Second Price,Floor Close Second Price Bid/Ask Indicator,Floor Post-Close Price,Floor Post-Close Price Bid/Ask Indicator,Floor Post-Close Second Price,Floor Post-Close Second Price Bid/Ask Indicator,Delta,Implied Volatility,Last Trade Date
20140102,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",6.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.16903","0.2185685","20140221",
20140102,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",15.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.36348","0.1741072","20140221",
20140103,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",5.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.14601","0.2201677","20140221",
20140103,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",17.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4065","0.1730551","20140221",
20140106,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",6.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.17169","0.2229711","20140221",
20140106,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",14.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.34675","0.1786845","20140221",
20140107,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",5.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","N","","","","","","","","0.15885","0.2066495","20140221",
20140107,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",14.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","14","N","","","","","","","","0.33783","0.1871968","20140221",
20140108,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",4.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.12444","0.2248085","20140221",
20140108,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",20.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.43507","0.176175","20140221",
20140109,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",1.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05019","0.1640308","20140221",
20140109,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","P","-30","2014","03","00",20.0,"","150","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.44889","0.1700945","20140221",
20140110,"XCBT","AGRICULTURE","3CC","3C","MAR-DEC CORN CSO","O","","C","-20","2014","03","00",7.0,"","230","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.21467","0.2051502","20140221",
