Trade Date,Exchange Code,Asset Class,Product Code,Clearing Code,Product Description,Product Type,Underlying Product Code,Put/Call,Strike Price,Contract Year,Contract Month,Contract Day,Settlement,Settlement Cabinet Indicator,Open Interest,Total Volume,Globex Volume,Floor Volume,PNT Volume,Block Volume,EFP Volume,EOO Volume,EFR Volume,EFS Volume,EFB Volume,EFM Volume,SUB Volume,OPNT Volume,TAS Volume,TAS Block Volume,TAM Singapore Volume,TAM Singapore Block Volume,TAM London Volume,TAM London Block Volume,Globex Open Price,Globex Open Price Bid/Ask Indicator,Globex Open Price Cabinet Indicator,Globex High Price,Globex High Price Bid/Ask Indicator,Globex High Price Cabinet Indicator,Globex Low Price,Globex Low Price Bid/Ask Indicator,Globex Low Price Cabinet Indicator,Globex Close Price,Globex Close Price Bid/Ask Indicator,Globex Close Price Cabinet Indicator,Floor Open Price,Floor Open Price Bid/Ask Indicator,Floor Open Price Cabinet Indicator,Floor Open Second Price,Floor Open Second Price Bid/Ask Indicator,Floor High Price,Floor High Price Bid/Ask Indicator,Floor High Price Cabinet Indicator,Floor Low Price,Floor Low Price Bid/Ask Indicator,Floor Low Price Cabinet Indicator,Floor Close Price,Floor Close Price Bid/Ask Indicator,Floor Close Price Cabinet Indicator,Floor Close Second Price,Floor Close Second Price Bid/Ask Indicator,Floor Post-Close Price,Floor Post-Close Price Bid/Ask Indicator,Floor Post-Close Second Price,Floor Post-Close Second Price Bid/Ask Indicator,Delta,Implied Volatility,Last Trade Date
20160420,"XNYM","ENERGY","8W","8W","GASOIL 0.1 CIF VS ICE GAS BLMO","F","","","","2016","04","20",-0.398,"","5","5","0","0","5","5","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","20160429",
20160421,"XNYM","ENERGY","8W","8W","GASOIL 0.1 CIF VS ICE GAS BLMO","F","","","","2016","04","20",-2.422,"","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","20160429",
20160422,"XNYM","ENERGY","8W","8W","GASOIL 0.1 CIF VS ICE GAS BLMO","F","","","","2016","04","20",-2.125,"","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","20160429",
20160425,"XNYM","ENERGY","8W","8W","GASOIL 0.1 CIF VS ICE GAS BLMO","F","","","","2016","04","20",-1.781,"","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","20160429",
20160426,"XNYM","ENERGY","8W","8W","GASOIL 0.1 CIF VS ICE GAS BLMO","F","","","","2016","04","20",-0.781,"","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","20160429",
20160427,"XNYM","ENERGY","8W","8W","GASOIL 0.1 CIF VS ICE GAS BLMO","F","","","","2016","04","20",-0.468,"","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","20160429",
20160428,"XNYM","ENERGY","8W","8W","GASOIL 0.1 CIF VS ICE GAS BLMO","F","","","","2016","04","20",-0.281,"","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","20160429",
20160429,"XNYM","ENERGY","8W","8W","GASOIL 0.1 CIF VS ICE GAS BLMO","F","","","","2016","04","20",-0.157,"","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","20160429",
20160502,"XNYM","ENERGY","8W","8W","GASOIL 0.1 CIF VS ICE GAS BLMO","F","","","","2016","04","20",-0.157,"","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","20160429",
20160503,"XNYM","ENERGY","8W","8W","GASOIL 0.1 CIF VS ICE GAS BLMO","F","","","","2016","04","20",-0.157,"","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","20160429",
20160504,"XNYM","ENERGY","8W","8W","GASOIL 0.1 CIF VS ICE GAS BLMO","F","","","","2016","04","20",-0.157,"","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","20160429",
